"","V1","V2","V3"
"1",1,0.69,1
"2",2,0,1
"3",1,1.39,3
"4",1,2.56,1
"5",2,0.69,2
"6",1,2.48,2
"7",1,2.3,2
"8",2,1.61,2
"9",1,1.39,2
"10",2,2.56,2
"11",1,1.1,2
"12",1,2.3,2
"13",2,2.3,2
"14",2,2.56,2
"15",2,2.83,1
"16",1,1.1,2
"17",1,1.79,2
"18",2,3.3,2
"19",2,2.08,1
"20",2,1.1,2
"21",2,3.14,2
"22",2,1.95,3
"23",2,0,2
"24",2,3.47,2
"25",2,1.95,2
"26",2,3.43,2
"27",1,0,2
"28",2,2.94,2
"29",1,1.79,2
"30",1,0.69,2
"31",1,1.61,2
"32",1,0.69,2
"33",2,1.1,2
"34",2,1.39,3
"35",1,2.64,2
"36",2,0,2
"37",2,2.4,2
"38",1,2.71,3
"39",1,0,2
"40",1,0,3
"41",2,3.09,1
"42",1,2.4,2
"43",1,0,2
"44",1,1.95,1
"45",2,0,1
"46",2,2.83,1
"47",2,2.71,2
"48",2,1.1,2
"49",2,0.69,2
"50",2,1.39,2
"51",2,2.08,2
"52",1,2.3,2
"53",2,1.39,1
"54",1,1.95,1
"55",1,0.69,2
"56",1,1.61,2
"57",1,2.08,2
"58",1,1.1,2
"59",2,2.48,3
"60",2,2.77,1
"61",1,2.64,2
"62",2,2.71,2
"63",2,2.64,1
"64",1,1.39,2
"65",1,0,2
"66",1,1.79,2
"67",2,1.79,2
"68",2,1.61,2
"69",2,0.69,3
"70",2,3.04,2
"71",1,2.3,2
"72",1,0,2
"73",2,1.1,1
