"","V1","V2"
"1",4,3
"2",3,4
"3",2,3
"4",4,3
"5",3,3
"6",1,2
"7",2,1
"8",3,2
"9",1,2
"10",0,0
"11",2,1
"12",1,2
"13",3,2
"14",1,2
"15",2,2
"16",2,1
"17",1,2
"18",0,2
"19",0,0
"20",1,2
"21",2,3
"22",1,1
"23",2,2
"24",2,1
"25",2,2
"26",1,1
"27",1,0
"28",1,1
"29",3,0
"30",3,3
"31",1,2
"32",2,2
"33",0,0
"34",1,1
"35",2,1
"36",1,2
"37",2,1
"38",1,1
"39",3,3
"40",4,3
"41",2,1
"42",3,3
"43",0,1
"44",3,3
"45",2,2
"46",3,3
"47",1,0
"48",0,0
"49",1,1
"50",3,3
"51",0,0
"52",1,1
