"",Satam Suqami,Wail Alshehri,Majed Moqed,Waleed Alshehri,Salem Alhazmi*,Khalid Al-Mihdhar,Hani Hanjour,Abdul Aziz Al-Omari*,Ahmed Alghamdi,Ahmed Alnami,Mohamed Atta,Marwan Al-Shehhi,Fayez Ahmed,Nawaf Alhazmi,Ziad Jarrah,Mohand Alshehri*,Saeed Alghamdi*,Ahmed Al Haznawi,Hamza Alghamdi
Satam Suqami,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wail Alshehri,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Majed Moqed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Waleed Alshehri,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Salem Alhazmi*,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Khalid Al-Mihdhar,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Hani Hanjour,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Abdul Aziz Al-Omari*,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Ahmed Alghamdi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ahmed Alnami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Mohamed Atta,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
Marwan Al-Shehhi,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
Fayez Ahmed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Nawaf Alhazmi,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1
Ziad Jarrah,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Mohand Alshehri*,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Saeed Alghamdi*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmed Al Haznawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Hamza Alghamdi,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0
