"","V1","V2","V3"
"1",1,1.1,2
"2",2,3.14,2
"3",2,0.69,1
"4",2,2.77,2
"5",1,0,2
"6",2,0,2
"7",2,2.48,1
"8",2,2.3,1
"9",2,2.71,2
"10",2,2.64,1
"11",1,1.95,1
"12",2,2.83,1
"13",1,0.69,2
"14",1,1.79,1
"15",1,2.4,2
"16",2,1.61,2
"17",1,1.61,2
"18",1,0.69,3
"19",2,1.61,1
"20",1,0,3
"21",1,0.69,2
"22",2,0,2
"23",2,2.2,2
"24",2,2.4,2
"25",2,3.14,2
"26",2,1.95,3
"27",2,1.39,2
"28",1,0,2
"29",2,0,1
"30",2,0.69,2
"31",1,0.69,3
"32",2,2.4,2
"33",1,0.69,2
"34",1,2.71,2
"35",1,0,3
"36",2,2.56,2
"37",2,2.2,1
"38",2,1.1,2
"39",2,2.2,2
"40",1,0,2
"41",2,2.64,1
"42",2,0,2
"43",2,2.56,1
"44",2,1.95,2
"45",2,2.2,2
"46",1,1.1,2
"47",1,0,2
"48",1,0.69,2
"49",1,2.3,2
"50",2,2.3,2
"51",2,2.77,2
"52",2,2.48,2
"53",1,3.5,2
"54",1,0,2
"55",1,1.1,2
"56",1,1.1,2
"57",2,1.1,2
"58",2,2.2,1
"59",2,2.64,2
"60",1,1.1,1
"61",1,1.1,2
