"","V1","V2"
"1",1,2
"2",0,3
"3",1,0
"4",3,2
"5",1,0
"6",2,2
"7",2,1
"8",2,0
"9",1,1
"10",3,3
"11",1,1
"12",2,2
"13",2,3
"14",3,3
"15",3,3
"16",1,1
"17",2,1
"18",3,1
"19",2,2
"20",1,2
"21",3,1
"22",2,2
"23",0,1
"24",3,4
"25",2,1
"26",3,2
"27",0,0
"28",3,2
"29",2,2
"30",1,1
"31",2,1
"32",1,1
"33",1,2
"34",1,3
"35",3,3
"36",0,1
"37",2,3
"38",3,2
"39",0,1
"40",0,0
"41",3,3
"42",2,2
"43",0,1
"44",2,1
"45",0,1
"46",3,3
"47",3,2
"48",1,2
"49",1,1
"50",1,2
"51",2,2
"52",2,2
"53",1,3
"54",2,2
"55",1,1
"56",2,1
"57",2,2
"58",1,1
"59",2,1
"60",3,2
"61",3,2
"62",3,2
"63",3,2
"64",1,2
"65",0,0
"66",2,2
"67",2,3
"68",2,1
"69",1,1
"70",3,3
"71",2,1
"72",0,1
"73",1,2
