"",Adams.John,Adams.Samuel,Allen.Dr,Appleton.Nathaniel,Ash.Gilbert,Austin.Benjamin,Austin.Samuel,Avery.John,Baldwin.Cyrus,Ballard.John,Barber.Nathaniel,Barnard.Samuel,Barrett.Samuel,Bass.Henry,Bell.William,Blake.Increase,Boit.John,Bolter.Thomas,Boyer.Peter,Boynton.Richard,Brackett.Jos,Bradford.John,Bradlee.David,Bradlee.Josiah,Bradlee.Nathaniel,Bradlee.Thomas,Bray.George,Breck.William,Bewer.James,Brimmer.Herman,Brimmer.Martin,Broomfield.Henry,Brown.Hugh,Brown.Enoch,Brown.John,Bruce.Stephen,Burbeck.Edward,Burbeck.William,Burt.Benjamin,Burton.Benjamin,Cailleteau.Edward,Callendar.Elisha,Campbell.Nicholas,Cazneau.Capt,Chadwell.Mr,Champney.Caleb,Chase.Thomas,Cheever.Ezekiel,Chipman.Seth,Chrysty.Thomas,Church.Benjamin,Clarke.Benjamin,Cleverly.Stephen,Cochran.John,Colesworthy.Gilbert,Collier.Gershom,Collins.Ezra,Collson.Adam,Condy.JamesFoster,Cooper.Samuel,Cooper.William,Crafts.Thomas,Crane.John,Davis.Caleb,Davis.Edward,Davis.Robert,Davis.William,Dawes.Thomas,Dennie.William,Deshon.Moses,Dexter.Samuel,Dolbear.Edward,Doyle.Peter,Eaton.Joseph,Eayres.Joseph,Eckley.Unknown,Edes.Benjamin,Emmes.Samuel,Etheridge.William,Fenno.Samuel,Ferrell.Ambrose,Field.Joseph,Flagg.Josiah,Fleet.Thomas,Foster.Bos,Foster.Samuel,Frothingham.Nathaniel,Gammell.John,Gill.Moses,Gore.Samuel,Gould.William,Graham.James,Grant.Moses,Gray.Wait,Greene.Nathaniel,Greenleaf.Joseph,Greenleaf.William,Greenough.Newn,Ham.William,Hammond.Samuel,Hancock.Eben,Hancock.John,Hendley.William,Hewes.George,Hickling.William,Hicks.John,Hill.Alexander,Hitchborn.Nathaniel,Hitchborn.Thomas,Hobbs.Samuel,Hoffins.John,Holmes.Nathaniel,Hooton.John,Hopkins.Caleb,Hoskins.William,Howard.Samuel,Howe.Edward,Hunnewell.Jonathan,Hunnewell.Richard,Hunstable.Thomas,Hunt.Abraham,Ingersoll.Daniel,Inglish.Alexander,Isaac.Pierce,Ivers.James,Jarvis.Edward,Jarvis.Charles,Jefferds.Unknown,Jenkins.John,Johnston.Eben,Johonnott.Gabriel,Kent.Benjamin,Kerr.Walter,Kimball.Thomas,Kinnison.David,Lambert.John,Lee.Joseph,Lewis.Phillip,Lincoln.Amos,Loring.Matthew,Lowell.John,Machin.Thomas,Mackay.William,MacKintosh.Capt,MacNeil.Archibald,Marett.Phillip,Marlton.John,Marshall.Thomas,Marson.John,Mason.Jonathan,Matchett.John,May.John,McAlpine.William,Melville.Thomas,Merrit.John,Milliken.Thomas,Molineux.William,Moody.Samuel,Moore.Thomas,Morse.Anthony,Morton.Perez,Mountford.Joseph,Newell.Eliphelet,Nicholls.Unknown,Noyces.Nat,Obear.Israel,Otis.James,Palfrey.William,Palmer.Joseph,Palms.Richard,Parker.Jonathan,Parkman.Elias,Partridge.Sam,Payson.Joseph,Pearce.IsaacJun,Pearce.Isaac,Peck.Samuel,Peck.Thomas,Peters.John,Phillips.John,Phillips.Samuel,Phillips.William,Pierce.William,Pierpont.Robert,Pitts.John,Pitts.Lendall,Pitts.Samuel,Porter.Thomas,Potter.Edward,Powell.William,Prentiss.Henry,Prince.John,Prince.Job,Proctor.Edward,Pulling.John,Pulling.Richard,Purkitt.Henry,Quincy.Josiah,Randall.John,Revere.Paul,Roby.Joseph,Roylson.Thomas,Ruddock.Abiel,Russell.John,Russell.William,Sessions.Robert,Seward.James,Sharp.Gibbens,Shed.Joseph,Sigourney.John,Simpson.Benjamin,Slater.Peter,Sloper.Ambrose,Smith.John,Spear.Thomas,Sprague.Samuel,Spurr.John,Stanbridge.Henry,Starr.James,Stearns.Phineas,Stevens.Ebenezer,Stoddard.Asa,Stoddard.Jonathan,Story.Elisha,Swan.James,Sweetser.John,Symmes.Eben,Symmes.John,Tabor.Philip,Tileston.Thomas,Trott.George,Tyler.Royall,Urann.Thomas,Vernon.Fortesque,Waldo.Benjamin,Warren.Joseph,Webb.Joseph,Webster.Thomas,Welles.Henry,Wendell.Oliver,Wheeler.Josiah,White.Samuel,Whitten.John,Whitwell.Samuel,Whitwell.William,Williams.Jeremiah,Williams.Jonathan,Williams.Thomas,Willis.Nathaniel,Wingfield.William,Winslow.John,Winthrop.John,Wyeth.Joshua,Young.Thomas
Adams.John,2,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,2,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,2,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
Adams.Samuel,2,4,1,2,0,1,1,1,1,1,3,0,1,2,0,0,1,0,1,2,1,2,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,2,2,0,1,2,4,1,2,0,1,1,1,1,1,3,0,1,2,0,0,1,0,1,2,1,2,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,2,2,0,1,2,4,1,2,0,1,1,1,1,1,3,0,1,2,0,0,1,0,1,2,1,2,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,2,0,0,1,0,2,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,2,0,0,1,2,2,0,0,2,0,3,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,3,0,0,0,2,0,1,0,1,1,0,1,0,0,0,1,2,0,2
Allen.Dr,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Appleton.Nathaniel,1,2,1,2,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,2,1,2,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,2,1,2,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2
Ash.Gilbert,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Austin.Benjamin,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
Austin.Samuel,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
Avery.John,0,1,0,0,0,1,1,2,1,0,1,0,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,1,2,1,0,1,0,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,1,2,1,0,1,0,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
Baldwin.Cyrus,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
Ballard.John,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
